================================================================
======== Log Rotated - 2026/03/23, 00:00:00                     
[17:36:50] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:38:39] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:38:41] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:38:50] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:38:53] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:39:00] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:39:09] [WLQLa#2] Joshua Sprigs: spawned a vehicle (model: nero)
[17:39:24] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:39:25] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:39:54] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:40:35] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:40:46] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:41:04] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:41:11] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:41:20] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:41:28] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:41:32] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:41:45] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:41:56] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:43:35] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:43:50] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:47:08] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:49:56] [WLQLa#2] Joshua Sprigs: enabled noclip
[17:50:01] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:50:14] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[17:50:41] [WLQLa#2] Joshua Sprigs: became mortal (standard mode)
[17:50:43] [WLQLa#2] Joshua Sprigs: deleted a vehicle
[17:50:45] [WLQLa#2] Joshua Sprigs: spawned a vehicle (model: nemesis)
[17:50:47] [WLQLa#2] Joshua Sprigs: deleted a vehicle
[17:50:49] [WLQLa#2] Joshua Sprigs: spawned a vehicle (model: volatus)
[17:51:42] [WLQLa#2] Joshua Sprigs: caused an explosion (PLANE)
[17:51:42] [WLQLa#2] Joshua Sprigs: died from suicide (Explosion)
[17:51:44] [WLQLa#2] Joshua Sprigs: enabled noclip
[17:51:46] [WLQLa#2] Joshua Sprigs: became mortal (standard mode)
[17:51:50] [WLQLa#2] Joshua Sprigs: spawned a vehicle (model: volatus)
[17:52:21] [WLQLa#2] Joshua Sprigs: enabled noclip
[17:52:30] [WLQLa#2] Joshua Sprigs: became mortal (standard mode)
[17:52:38] [WLQLa#2] Joshua Sprigs: repaired their vehicle
[17:57:23] [WLQLa#2] Joshua Sprigs: enabled noclip
[17:57:29] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:57:30] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:57:59] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:57:59] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:57:59] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:58:00] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:58:01] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:58:15] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:58:17] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:58:17] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:58:18] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:58:18] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:58:19] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:58:19] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:58:22] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:58:24] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[17:58:26] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[18:01:03] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[18:02:09] [WLQLa#2] Joshua Sprigs: became mortal (standard mode)
[18:02:11] [WLQLa#2] Joshua Sprigs: enabled noclip
[18:02:13] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[18:02:13] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[18:02:13] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[18:02:14] [WLQLa#2] Joshua Sprigs: became mortal (standard mode)
[18:02:14] [WLQLa#2] Joshua Sprigs: enabled noclip
[18:02:16] [WLQLa#2] Joshua Sprigs: became mortal (standard mode)
[18:02:18] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[18:02:19] [WLQLa#2] Joshua Sprigs: enabled noclip
[18:02:19] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[18:02:20] [WLQLa#2] Joshua Sprigs: became mortal (standard mode)
[18:03:50] [WLQLa#2] Joshua Sprigs: enabled noclip
[18:06:30] [WLQLa#2] Joshua Sprigs: said "/-placeItem"
[18:15:00] [WLQLa#2] Joshua Sprigs: said "/-openInventory"
[18:15:13] [WLQLa#2] Joshua Sprigs: disconnected (Exiting)
[18:19:16] [WLQLa#3] Joshua Sprigs: joined with identifiers [license:7df1…5909, xbl:2535…2995, live:1055…0914, discord:5336…1534, fivem:2412049, license2:da0e…971c]
[18:19:35] [WLQLa#3] Joshua Sprigs: said "/-openInventory"
[18:19:45] [WLQLa#3] Joshua Sprigs: said "/-openInventory"
[18:19:54] [WLQLa#3] Joshua Sprigs: said "/-openInventory"
[18:20:12] [WLQLa#3] Joshua Sprigs: said "/-openInventory"
